Id,SalePrice
1,172854.980546293
2,175600.368631825
3,103824.21249802
4,210646.78258216
5,163378.832937414
6,205274.306148797
7,148208.115494644
8,174211.568276485
9,217413.265456961
10,99659.3588084433
11,173602.123147624
12,168640.594437651
13,213176.708693091
14,191801.827466597
15,236438.048038125
16,137126.464947147
17,217279.290283436
18,148453.742376597
19,177883.906772588
20,183977.283573421
21,138039.001929975
22,199781.115013502
23,171270.189112337
24,129052.804111323
25,161779.155093927
26,159243.604526969
27,147935.934648025
28,192055.112921942
29,203095.488047014
30,153577.2384987
31,217699.330940553
32,190621.017151702
33,82164.4248481109
34,152851.866232
35,119853.988350356
36,166527.264628602
37,196485.595504496
38,189028.074007247
39,180667.683101631
40,198010.34651774
41,147534.466635439
42,184408.112896292
43,168467.354968341
44,218408.419838709
45,205617.500677275
46,147232.936696622
47,179360.768793568
48,190370.417156834
49,215469.736096155
50,134282.821776011
51,202741.884167705
52,181631.722234334
53,176659.058385745
54,165864.257816468
55,147179.230601542
56,153475.566569072
57,95816.3845110724
58,193627.710863716
59,173509.984492455
60,147848.144450727
61,128355.186585813
62,223834.123504233
63,161229.700716952
64,183959.927153065
65,169889.143529808
66,151575.450592495
67,116605.881456045
68,222963.158554906
69,187448.505134644
70,206319.308135781
71,223438.951950331
72,188534.458402825
73,210599.981511546
74,145227.920620107
75,145681.436078478
76,166598.380045118
77,158941.485163333
78,150177.44790469
79,173506.556520604
80,193885.900949116
81,215177.279142751
82,161941.524099892
83,178588.756868343
84,158140.438956134
85,140211.27249006
86,176207.794103679
87,239676.83145276
88,196766.931631996
89,214055.390718893
90,134232.532276309
91,112275.544359419
92,147425.842700179
93,176569.224402907
94,197495.897335082
95,209082.785475057
96,148294.603540582
97,164729.459230583
98,171128.996447008
99,144977.430173481
100,189100.422439186
101,230663.779159277
102,183225.646493293
103,159788.67599715
104,144173.150035149
105,188668.070785396
106,182035.382250552
107,156956.348335083
108,172308.609680258
109,129953.7620354
110,145254.382929762
111,154335.80980529
112,247264.79212161
113,184218.684359361
114,165421.89016091
115,137958.023485391
116,174394.966453236
117,143260.213033446
118,130760.101300505
119,161780.626906602
120,222003.384009561
121,144254.501670195
122,189930.300750128
123,185156.060459691
124,144035.817460058
